SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_STREAMING_THRESHOLD,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,1,0.300000,32,64,1,4,6.35394,6.35394,2.06443,0,0
0,1,0.300000,64,64,1,4,5.1272,5.1272,2.12237,0,0
0,1,0.300000,128,64,1,4,4.79927,4.79927,2.01916,0,0
0,1,0.300000,256,64,1,4,4.52414,4.52414,2.05791,0,0
0,1,0.300000,512,64,1,4,4.25834,4.25834,2.00299,0,0
0,0,0.300000,16,256,0,4,8.63981,8.63981,1.94314,0,0
0,0,0.300000,32,256,0,4,6.83944,6.83944,2.04214,0,0
0,0,0.300000,64,256,0,4,5.55735,5.55735,1.95438,0,0
0,0,0.300000,128,256,0,4,4.95311,4.95311,2.01373,0,0
0,0,0.300000,256,256,0,4,4.71019,4.71019,1.98127,0,0
0,0,0.300000,512,256,0,4,4.64344,4.64344,2.01739,0,0
0,1,0.300000,16,256,0,4,8.87665,8.87665,2.03947,0,0
0,1,0.300000,32,256,0,4,6.91151,6.91151,2.01728,0,0
0,1,0.300000,64,256,0,4,5.4079,5.4079,2.01143,0,0
0,1,0.300000,128,256,0,4,4.78849,4.78849,2.0023,0,0
0,1,0.300000,256,256,0,4,4.59582,4.59582,1.97721,0,0
0,1,0.300000,512,256,0,4,4.48303,4.48303,1.98034,0,0
0,0,0.300000,16,256,1,4,8.70471,8.70471,2.04637,0,0
0,0,0.300000,32,256,1,4,6.42136,6.42136,2.00097,0,0
0,0,0.300000,64,256,1,4,5.12779,5.12779,2.05306,0,0
0,0,0.300000,128,256,1,4,4.74455,4.74455,2.09218,0,0
0,0,0.300000,256,256,1,4,4.56729,4.56729,2.07148,0,0
0,0,0.300000,512,256,1,4,4.29682,4.29682,2.07906,0,0
0,1,0.300000,16,256,1,4,8.43465,8.43465,2.08091,0,0
0,1,0.300000,32,256,1,4,6.24998,6.24998,2.05795,0,0
0,1,0.300000,64,256,1,4,5.11535,5.11535,2.05068,0,0
0,1,0.300000,128,256,1,4,4.5357,4.5357,2.06778,0,0
0,1,0.300000,256,256,1,4,4.35677,4.35677,2.06802,0,0
0,1,0.300000,512,256,1,4,4.30946,4.30946,2.07108,0,0
1,0,0.100000,16,16,0,4,7.16587,7.16587,2.01914,0,0
1,0,0.100000,32,16,0,4,5.48972,5.48972,2.03485,0,0
1,0,0.100000,64,16,0,4,3.86085,3.86085,2.0218,0,0
1,0,0.100000,128,16,0,4,3.02865,3.02865,1.97683,0,0
1,0,0.100000,256,16,0,4,2.67582,2.67582,1.98573,0,0
1,0,0.100000,512,16,0,4,2.57604,2.57604,1.99676,0,0
1,1,0.100000,16,16,0,4,8.05277,8.05277,2.00508,0,0
1,1,0.100000,32,16,0,4,5.46416,5.46416,2.00481,0,0
1,1,0.100000,64,16,0,4,3.84207,3.84207,1.99797,0,0
1,1,0.100000,128,16,0,4,3.07489,3.07489,2.01934,0,0
1,1,0.100000,256,16,0,4,2.76522,2.76522,2.03244,0,0
1,1,0.100000,512,16,0,4,2.51419,2.51419,1.9719,0,0
1,0,0.100000,16,16,1,4,6.9491,6.9491,2.03504,0,0
1,0,0.100000,32,16,1,4,5.07968,5.07968,2.04304,0,0
1,0,0.100000,64,16,1,4,3.56945,3.56945,2.10304,0,0
1,0,0.100000,128,16,1,4,3.02478,3.02478,2.05682,0,0
1,0,0.100000,256,16,1,4,2.78146,2.78146,2.09815,0,0
1,0,0.100000,512,16,1,4,2.54827,2.54827,2.0625,0,0
1,1,0.100000,16,16,1,4,6.64711,6.64711,2.05527,0,0
1,1,0.100000,32,16,1,4,5.07467,5.07467,2.0497,0,0
1,1,0.100000,64,16,1,4,3.65119,3.65119,2.12157,0,0
1,1,0.100000,128,16,1,4,2.92377,2.92377,2.08107,0,0
1,1,0.100000,256,16,1,4,2.73125,2.73125,2.01761,0,0
1,1,0.100000,512,16,1,4,2.60466,2.60466,2.14991,0,0
1,0,0.100000,16,64,0,4,7.67365,7.67365,2.0793,0,0
1,0,0.100000,32,64,0,4,5.40671,5.40671,2.05981,0,0
1,0,0.100000,64,64,0,4,3.79587,3.79587,2.05089,0,0
1,0,0.100000,128,64,0,4,3.00155,3.00155,1.96943,0,0
1,0,0.100000,256,64,0,4,2.67835,2.67835,1.96211,0,0
1,0,0.100000,512,64,0,4,2.49397,2.49397,2.0037,0,0
1,1,0.100000,16,64,0,4,7.60742,7.60742,1.97628,0,0
1,1,0.100000,32,64,0,4,5.06816,5.06816,1.98909,0,0
1,1,0.100000,64,64,0,4,3.5876,3.5876,2.00841,0,0
1,1,0.100000,128,64,0,4,2.93828,2.93828,2.00294,0,0
1,1,0.100000,256,64,0,4,2.70888,2.70888,1.98659,0,0
1,1,0.100000,512,64,0,4,2.5529,2.5529,1.98635,0,0
1,0,0.100000,16,64,1,4,6.77995,6.77995,2.07318,0,0
1,0,0.100000,32,64,1,4,4.91986,4.91986,2.06578,0,0
1,0,0.100000,64,64,1,4,3.3514,3.3514,2.08475,0,0
1,0,0.100000,128,64,1,4,2.86848,2.86848,2.07095,0,0
1,0,0.100000,256,64,1,4,2.63009,2.63009,2.09188,0,0
1,0,0.100000,512,64,1,4,2.51455,2.51455,2.08756,0,0
1,1,0.100000,16,64,1,4,5.97129,5.97129,2.08319,0,0
1,1,0.100000,32,64,1,4,4.76084,4.76084,2.09327,0,0
1,1,0.100000,64,64,1,4,3.48765,3.48765,2.07159,0,0
1,1,0.100000,128,64,1,4,2.86979,2.86979,2.10725,0,0
1,1,0.100000,256,64,1,4,2.8232,2.8232,2.08349,0,0
1,1,0.100000,512,64,1,4,2.54807,2.54807,2.07604,0,0
1,0,0.100000,16,256,0,4,6.78901,6.78901,2.02895,0,0
1,0,0.100000,32,256,0,4,5.25679,5.25679,2.00154,0,0
1,0,0.100000,64,256,0,4,3.51981,3.51981,1.99601,0,0
1,0,0.100000,128,256,0,4,2.99455,2.99455,2.02896,0,0
1,0,0.100000,256,256,0,4,2.66564,2.66564,1.93942,0,0
1,0,0.100000,512,256,0,4,2.58173,2.58173,2.02379,0,0
1,1,0.100000,16,256,0,4,7.18291,7.18291,2.03225,0,0
1,1,0.100000,32,256,0,4,5.03436,5.03436,1.99477,0,0
1,1,0.100000,64,256,0,4,3.55147,3.55147,1.99005,0,0
1,1,0.100000,128,256,0,4,2.93678,2.93678,1.98542,0,0
1,1,0.100000,256,256,0,4,2.73432,2.73432,1.97867,0,0
1,1,0.100000,512,256,0,4,2.55243,2.55243,2.02339,0,0
1,0,0.100000,16,256,1,4,6.55685,6.55685,2.06253,0,0
1,0,0.100000,32,256,1,4,5.07731,5.07731,2.05601,0,0
1,0,0.100000,64,256,1,4,3.50679,3.50679,2.08444,0,0
1,0,0.100000,128,256,1,4,2.86134,2.86134,2.0831,0,0
1,0,0.100000,256,256,1,4,2.62484,2.62484,2.08985,0,0
1,0,0.100000,512,256,1,4,2.48781,2.48781,2.10411,0,0
1,1,0.100000,16,256,1,4,6.49571,6.49571,2.07957,0,0
1,1,0.100000,32,256,1,4,4.75317,4.75317,2.09637,0,0
1,1,0.100000,64,256,1,4,3.58499,3.58499,2.1002,0,0
1,1,0.100000,128,256,1,4,2.86678,2.86678,2.06751,0,0
1,1,0.100000,256,256,1,4,2.73778,2.73778,2.10053,0,0
1,1,0.100000,512,256,1,4,2.51367,2.51367,2.10293,0,0
1,0,0.200000,16,16,0,4,6.70953,6.70953,2.0669,0,0
1,0,0.200000,32,16,0,4,5.13515,5.13515,1.97645,0,0
1,0,0.200000,64,16,0,4,3.73131,3.73131,2.04138,0,0
1,0,0.200000,128,16,0,4,2.98778,2.98778,2.03382,0,0
1,0,0.200000,256,16,0,4,2.76325,2.76325,1.92439,0,0
1,0,0.200000,512,16,0,4,2.57259,2.57259,2.01046,0,0
1,1,0.200000,16,16,0,4,7.26124,7.26124,1.9458,0,0
1,1,0.200000,32,16,0,4,5.03493,5.03493,2.03044,0,0
1,1,0.200000,64,16,0,4,3.5675,3.5675,2.00667,0,0
1,1,0.200000,128,16,0,4,2.90658,2.90658,2.02119,0,0
1,1,0.200000,256,16,0,4,2.72863,2.72863,1.97531,0,0
1,1,0.200000,512,16,0,4,2.59116,2.59116,2.01329,0,0
1,0,0.200000,16,16,1,4,6.7844,6.7844,2.13996,0,0
1,0,0.200000,32,16,1,4,5.06221,5.06221,2.06355,0,0
1,0,0.200000,64,16,1,4,3.63984,3.63984,2.06969,0,0
1,0,0.200000,128,16,1,4,2.97092,2.97092,2.09928,0,0
1,0,0.200000,256,16,1,4,2.76782,2.76782,2.07023,0,0
1,0,0.200000,512,16,1,4,2.63336,2.63336,2.06415,0,0
1,1,0.200000,16,16,1,4,6.53073,6.53073,2.12731,0,0
1,1,0.200000,32,16,1,4,4.74804,4.74804,2.07988,0,0
1,1,0.200000,64,16,1,4,3.52327,3.52327,2.06067,0,0
1,1,0.200000,128,16,1,4,2.85806,2.85806,2.08699,0,0
1,1,0.200000,256,16,1,4,2.62317,2.62317,2.08338,0,0
1,1,0.200000,512,16,1,4,2.55033,2.55033,2.05483,0,0
1,0,0.200000,16,64,0,4,6.70985,6.70985,2.00537,0,0
1,0,0.200000,32,64,0,4,5.37365,5.37365,2.00334,0,0
1,0,0.200000,64,64,0,4,3.62169,3.62169,2.02042,0,0
1,0,0.200000,128,64,0,4,3.08853,3.08853,1.92947,0,0
1,0,0.200000,256,64,0,4,2.61255,2.61255,2.04448,0,0
1,0,0.200000,512,64,0,4,2.52491,2.52491,2.00164,0,0
1,1,0.200000,16,64,0,4,7.28457,7.28457,2.03299,0,0
1,1,0.200000,32,64,0,4,5.12889,5.12889,2.00447,0,0
1,1,0.200000,64,64,0,4,3.57872,3.57872,1.92727,0,0
1,1,0.200000,128,64,0,4,3.13963,3.13963,2.01904,0,0
1,1,0.200000,256,64,0,4,2.71557,2.71557,2.02538,0,0
1,1,0.200000,512,64,0,4,2.59537,2.59537,1.95481,0,0
1,0,0.200000,16,64,1,4,7.05532,7.05532,2.07022,0,0
1,0,0.200000,32,64,1,4,5.10208,5.10208,2.0741,0,0
1,0,0.200000,64,64,1,4,3.49477,3.49477,2.06425,0,0
1,0,0.200000,128,64,1,4,2.82672,2.82672,2.09356,0,0
1,0,0.200000,256,64,1,4,2.86766,2.86766,2.10421,0,0
1,0,0.200000,512,64,1,4,2.51088,2.51088,2.08745,0,0
1,1,0.200000,16,64,1,4,6.53535,6.53535,2.11618,0,0
1,1,0.200000,32,64,1,4,4.75636,4.75636,2.07093,0,0
1,1,0.200000,64,64,1,4,3.51394,3.51394,2.00539,0,0
1,1,0.200000,128,64,1,4,2.88032,2.88032,2.05298,0,0
1,1,0.200000,256,64,1,4,2.63799,2.63799,2.08095,0,0
1,1,0.200000,512,64,1,4,2.54257,2.54257,2.04068,0,0
1,0,0.200000,16,256,0,4,6.70499,6.70499,2.00746,0,0
1,0,0.200000,32,256,0,4,5.37214,5.37214,2.02164,0,0
1,0,0.200000,64,256,0,4,3.64442,3.64442,1.99527,0,0
1,0,0.200000,128,256,0,4,2.97143,2.97143,2.02574,0,0
1,0,0.200000,256,256,0,4,2.70335,2.70335,2.01774,0,0
1,0,0.200000,512,256,0,4,2.6099,2.6099,2.0063,0,0
